# Puzzle từ kho mở Lichess (CC0) — sinh bởi tool/build_puzzles.dart
# id|fen|các nước UCI|elo|chủ đề
lMxB7|4r1k1/1p5p/p3p1pB/2b5/8/2Nq4/PP4QP/5R1K w - - 1 22|g2b7 d3f1|466|hangingPiece,mate,mateIn1,middlegame,oneMove
KZm6p|4r3/pp2rpkp/2p3p1/2Pb4/1PB5/P7/3R1PPP/3R2K1 w - - 7 25|c4d5 e7e1 d1e1 e8e1|475|backRankMate,endgame,mate,mateIn2,short
PpX14|3q4/p7/4pk2/4b1p1/4Qp2/8/PPP2PPB/6K1 w - - 0 28|c2c3 d8d1 e4e1 d1e1|475|endgame,mate,mateIn2,short
4fcHo|8/7K/7P/8/1k6/p7/8/8 w - - 0 48|h7g6 a3a2 g6h7 a2a1q|481|advancedPawn,crushing,endgame,pawnEndgame,promotion,short
kxxHM|4r3/5p2/PR1P1p2/1Pp3k1/8/3B1nP1/2P2P2/3K4 w - - 9 42|a6a7 e8e1|482|endgame,mate,mateIn1,oneMove
FgiwY|4r1k1/4Nppp/2pp4/2p2b2/8/1P3P2/1KP3PP/R7 b - - 1 23|e8e7 a1a8 f5c8 a8c8 e7e8 c8e8|486|backRankMate,endgame,long,mate,mateIn3
dfT3j|rn2kb2/pp2pp2/2p1bnp1/q7/NP2PB1P/3Q4/P4PBP/R2R2K1 b q - 0 15|a5a4 d3d8|488|mate,mateIn1,middlegame,oneMove
hCjK1|4r1k1/pp3ppp/8/3p4/3P4/2P2Q2/P4PPP/6K1 w - - 0 22|f3d5 e8e1|492|backRankMate,endgame,mate,mateIn1,oneMove,queenRookEndgame
9B2Gz|5k2/p5p1/1p1b1rBp/2p4P/3P4/P1P2P2/1P2R1K1/8 b - - 3 38|c5d4 e2e8|495|endgame,mate,mateIn1,oneMove,operaMate
5tKxy|r2Q2k1/p4pbp/6pB/1p6/8/8/Pq3PPP/3R2K1 b - - 3 25|a8d8 d1d8 g7f8 d8f8|498|endgame,mate,mateIn2,operaMate,short
Pn0aj|r3kb1r/1bqp1pp1/p3p1p1/1p2B1N1/8/2NQ4/PP3PPP/2KR3R b kq - 0 14|c7e5 d3d7|504|mate,mateIn1,middlegame,oneMove
fKJ6c|5rk1/p5b1/1p2Pq2/2p5/6Q1/1P6/P2p2PP/3RR2K w - - 0 32|e1f1 f6f1 d1f1 f8f1|505|backRankMate,endgame,mate,mateIn2,short
PQlya|6rk/8/p2p3p/3Pp3/1P3nq1/P3QNP1/4pP1P/R6K b - - 3 35|f4d5 e3h6|505|endgame,mate,mateIn1,oneMove
oWNaQ|r3kb1r/pp1n1ppp/2pp1n2/q3p3/3PP3/2NB1Q2/PPP2PPP/R1B1R1K1 w kq - 0 9|c3e2 a5e1|506|hangingPiece,kingsideAttack,mate,mateIn1,oneMove,opening
9B2OF|r2Qk2r/ppp2ppp/2p1b3/6B1/4PPnP/qP6/2P3P1/1K1R1B1R b kq - 6 17|a8d8 d1d8|507|mate,mateIn1,middlegame,oneMove,operaMate
iWuH7|2r2rk1/1p1qbppp/2npp3/p2nP3/3P2b1/P2QBN2/1P1N1PPP/RB3RK1 b - - 2 16|d5e3 d3h7|511|kingsideAttack,mate,mateIn1,middlegame,oneMove
TLGGk|6Qk/6p1/p5Pp/1p6/2p2nq1/2B5/PPB2PP1/3R2K1 b - - 0 32|h8g8 d1d8|512|endgame,mate,mateIn1,oneMove
bysri|6k1/2bR1ppp/p7/6P1/1p2r1BP/8/PPP5/1K6 w - - 0 28|d7c7 e4e1 g4d1 e1d1|516|backRankMate,endgame,mate,mateIn2,short
J1yKr|4r2k/6pp/8/8/3pQ3/7P/5PP1/1R4K1 b - - 0 28|e8e4 b1b8 e4e8 b8e8|519|backRankMate,endgame,mate,mateIn2,rookEndgame,short
CFX8E|1nbq1rk1/3pbppp/p3p3/pN2P3/2PPQ3/3B4/5PPP/R4RK1 b - - 1 16|a6b5 e4h7|520|kingsideAttack,mate,mateIn1,middlegame,oneMove
KZlaY|1r1qnrk1/1pn1bppp/p2pb3/2pNP3/P1P1Q3/3B1N1P/1P3PP1/R1B2RK1 b - - 2 15|e6d5 e4h7|520|kingsideAttack,mate,mateIn1,oneMove,opening
2Tnj3|6k1/2N3pp/3q1p2/p1p5/3p2P1/1P1P3P/4Q1K1/8 b - - 2 40|d6c7 e2e8|525|endgame,master,mate,mateIn1,oneMove,queenEndgame
mjQ1W|3r3k/pp2b1pp/2q5/8/8/P1P2Q2/1P3PPP/R1B3K1 w - - 3 23|f3c6 d8d1|526|backRankMate,endgame,mate,mateIn1,oneMove
Q9MYn|1k3r2/ppp3pp/3b4/2P3Q1/8/3n3P/P5P1/R4q1K w - - 1 31|a1f1 f8f1|529|endgame,mate,mateIn1,oneMove,pillsburysMate
2ToRs|r1bq3k/ppp1nBp1/1bnp3B/7Q/1P1pP3/2P5/P4PPP/RN3RK1 b - - 0 12|g7h6 h5h6|531|kingsideAttack,mate,mateIn1,middlegame,oneMove
V1bbg|3r3k/1b4p1/1p5p/p1n5/4p3/P1N5/1P1q1QPP/1B3RK1 b - - 1 29|e4e3 f2f8 d8f8 f1f8|532|mate,mateIn2,middlegame,pillsburysMate,sacrifice,short
6SiaJ|2b5/p4q1k/4p3/3pBp2/1p1P1P1Q/6P1/P5K1/1q6 b - - 3 43|h7g8 h4h8|533|endgame,master,mate,mateIn1,oneMove
Xu0Eo|8/p7/6K1/1p6/1k5P/8/8/8 b - - 0 43|b4c3 h4h5 c3c2 h5h6 b5b4 h6h7 b4b3 h7h8q|534|advancedPawn,crushing,endgame,pawnEndgame,promotion,quietMove,veryLong
6Si62|6k1/5p2/5p2/1N6/p3p3/P2n1P2/1P1R2PP/2r3K1 w - - 1 32|d2d1 c1d1|535|endgame,hangingPiece,mate,mateIn1,oneMove
W8Kaq|r1bq1rk1/pp3ppp/6n1/3pR3/8/2PQ4/PPB2PPP/R1B2NK1 b - - 0 15|g6e5 d3h7|535|kingsideAttack,mate,mateIn1,middlegame,oneMove
1ozEU|rn4k1/pp2B2p/2q3p1/2P1bb2/8/1P5P/P1PQ1PP1/6K1 b - - 0 21|c6e6 d2d8 g8f7 d8f8|537|kingsideAttack,mate,mateIn2,middlegame,short
X4g1U|r4k2/p3pp2/8/2pRPN2/1pP1nP2/7r/PP6/2KR4 b - - 4 28|e7e6 d5d8 a8d8 d1d8|540|endgame,mate,mateIn2,short
BXHDw|r1bqk2r/1p3pBp/p3p3/6b1/8/2Q5/PPP2PPP/2KR1B1R w kq - 1 13|c1b1 d8d1|540|hangingPiece,mate,mateIn1,middlegame,oneMove,queensideAttack
WHeO6|2k2b1r/pp4pp/2p5/4pp2/2P5/P2r4/1P3PPP/R1B1R1K1 w - - 0 18|e1e5 d3d1 e5e1 d1e1|542|backRankMate,endgame,mate,mateIn2,short
j7Wtx|k1q3r1/8/5p2/P7/5P2/b3P3/1Q1P1RpP/6K1 w - - 0 30|b2a2 c8c1 f2f1 g2f1q|543|advancedPawn,discoveredCheck,doubleCheck,endgame,mate,mateIn2,promotion,short
UiZwy|r3k2r/ppqnb1p1/2p1ppp1/2P1N3/3Pp3/1P2P3/PB3PPP/R2Q1RK1 w kq - 0 14|e5g6 c7h2|550|kingsideAttack,master,mate,mateIn1,middlegame,oneMove
4GkQ8|8/k1p4p/p5p1/8/q7/5Q2/1P3PPP/3R2K1 w - - 0 33|f3c3 a4d1 c3e1 d1e1|557|endgame,hangingPiece,mate,mateIn2,short
MK4Sx|5k2/R4ppp/3Pb3/8/1B6/p7/2r2PPP/6K1 w - - 0 27|a7a3 c2c1 b4e1 c1e1|562|backRankMate,endgame,mate,mateIn2,short
IT6qF|r1b2rk1/ppp2ppp/3b2n1/4q3/1P6/P1N1P3/2P1BPPP/R1BQ1RK1 w - - 0 12|c1b2 e5h2|565|kingsideAttack,mate,mateIn1,oneMove,opening
np8Rn|5rk1/1p2qpp1/1b1p3p/2pP4/1PB1P1b1/n4NP1/1Q4PP/B4R1K b - - 4 23|a3c4 b2g7|567|kingsideAttack,mate,mateIn1,middlegame,oneMove
1PZtY|6k1/p2r2p1/8/3p1nN1/2r2P2/5K2/PR6/8 b - - 11 38|d5d4 b2b8 c4c8 b8c8 d7d8 c8d8|568|endgame,long,mate,mateIn3
mjSow|8/p3k1p1/1pq2p1p/2p4P/5B2/3Q2P1/P4P1K/8 w - - 12 43|d3d6 c6d6 f4d6 e7d6|568|crushing,endgame,master,short
m9Eko|r1b2r1k/pp4pp/8/2pB4/Q1P2B2/P2q2P1/1P4KP/R7 b - - 3 27|f8f4 a4e8 f4f8 e8f8|570|mate,mateIn2,middlegame,short
Kh1Mx|rnb2rk1/pp3pbp/3q2p1/6B1/2Bpp1n1/2P2N1P/PP3PP1/RN1Q1RK1 w - - 0 12|f3d4 d6h2|572|mate,mateIn1,middlegame,oneMove
KzTJv|r2q2k1/1p2prbp/3p3B/p1p2BQp/1n1P4/P1N2P2/1PP3P1/2KR2N1 b - - 0 16|f7f5 g5g7|572|kingsideAttack,mate,mateIn1,middlegame,oneMove
WHbrq|8/kbQ5/1p1p4/p2Pp3/4P3/3Bq3/PPP3PP/5R1K w - - 0 37|f1e1 e3e1 d3f1 e1f1|574|endgame,hangingPiece,mate,mateIn2,short
0Eu4T|3r1rk1/p4ppp/1p3n2/2p5/2P2P1P/3BPK2/P5P1/1R1R4 b - - 5 23|d8d6 d3h7 f6h7 d1d6|575|crushing,discoveredAttack,endgame,kingsideAttack,short
U6a57|6k1/5p1p/R5p1/P7/3B4/2n2pP1/2r2P1K/8 b - - 2 40|c3e4 a6a8 c2c8 a8c8|576|endgame,mate,mateIn2,pillsburysMate,short
MK0uT|7k/5pp1/1p2p2p/p5n1/7P/P7/1Pr2PB1/3R3K b - - 0 34|g5h7 d1d8 h7f8 d8f8|580|crushing,endgame,short
WfUuF|8/ppB2kp1/2n2q2/5r2/8/2N3Q1/PPP3PP/R6K w - - 5 23|a1d1 f5f1 d1f1 f6f1|580|mate,mateIn2,middlegame,short
RJnym|1knR4/2r4p/3Q1pp1/6r1/8/1P3P2/5P1P/7K w - - 10 41|d6f6 c7c1 d8d1 c1d1|588|endgame,mate,mateIn2,short
kQthk|4Q3/kp2R3/p2p1p2/8/1Pq2B2/P1p3PP/2P2P2/2K5 w - - 1 33|e8a4 c4f1 e7e1 f1e1|590|endgame,mate,mateIn2,short
MmDL0|1k1r2nr/pp1B1Rpp/2pp4/8/4P3/2qP3Q/P1P3PP/R1B4K w - - 0 16|a1b1 c3e1 f7f1 e1f1|591|kingsideAttack,mate,mateIn2,middlegame,short
5tKVC|8/RQ5p/1p3r2/8/2P5/Pk6/4r1PP/R4q1K w - - 2 40|a1f1 f6f1|591|endgame,mate,mateIn1,oneMove,queenRookEndgame
ABAVO|6k1/1q3npp/1r2p3/N2pP3/5PP1/6KP/3Q4/2R5 b - - 0 39|b7a7 c1c8 f7d8 c8d8|591|crushing,endgame,short
5GMVp|rnbq1rk1/pp3ppp/2p5/3p4/1P1P4/P1N1P1P1/2Q2PP1/R3KB1R b KQ - 0 13|b8d7 c2h7|594|kingsideAttack,mate,mateIn1,middlegame,oneMove
E0nwh|4r2k/1pB2qp1/p1p4p/8/6n1/P6P/1PP3P1/5R1K w - - 0 29|f1f7 e8e1 f7f1 e1f1|603|endgame,master,mate,mateIn2,short
KHIbY|r7/p1p2pk1/1p1p1np1/3Pp3/4P1P1/4qP1Q/PPP1N3/1K5R w - - 3 27|e2g1 e3e1|604|backRankMate,endgame,mate,mateIn1,oneMove
97F17|4r1k1/5p2/3p1P1p/1RpP1Bp1/1nP5/1r3PK1/p6P/4R3 b - - 4 31|e8e1 b5b8 e1e8 b8e8|607|endgame,mate,mateIn2,pillsburysMate,short
KzSyM|1k3bnr/ppp3p1/4Q3/2Bp2q1/8/1NPP3p/PP5P/4RK2 b - - 1 22|f8c5 e6e8 g5d8 e8d8|613|mate,mateIn2,middlegame,queensideAttack,short
mQFHF|8/rk3ppp/3R4/1P6/8/8/6PP/7K w - - 0 37|b5b6 a7a1 d6d1 a1d1|615|backRankMate,endgame,mate,mateIn2,rookEndgame,short
WfUm9|r1bk1b1r/p1N2ppp/8/3p4/1q2nB2/2P5/PP2QPPP/R3KB1R b KQ - 0 14|e4c3 e2e8|619|mate,mateIn1,oneMove,opening
D9tjl|5rk1/p4pp1/2p1bn1p/8/2P1P3/Q1N1qR2/PP2B1PP/3r3K w - - 0 19|e2d1 e3e1 f3f1 e1f1|623|kingsideAttack,mate,mateIn2,middlegame,short
npAio|r2q1rk1/pp1nbpp1/3p3p/1Pp3N1/2PP2b1/2N5/PBQ1BPPP/R4RK1 b - - 0 13|g4e2 c2h7|626|mate,mateIn1,middlegame,oneMove
ECJ7W|2n1rrk1/4qppp/1p3n2/pNppN3/3P4/2P2Q2/PP3PPP/R3R1K1 w - - 2 24|e5g6 e7e1 a1e1 e8e1|626|backRankMate,mate,mateIn2,middlegame,short
Q6lkr|r1bqnrk1/ppp1np2/3p4/4P1N1/2BP4/3Q4/P4PPP/R3R1K1 b - - 0 17|d6d5 d3h7|629|mate,mateIn1,middlegame,oneMove
7AyPQ|3r2k1/1p3pp1/4p2p/8/p3P3/P1P1Q3/1P3nPP/3R3K w - - 1 36|e3f2 d8d1 f2g1 d1g1|630|crushing,endgame,hangingPiece,master,queenRookEndgame,short
8UQKH|r1b1k2r/p1p2ppp/2p5/2bpq3/5P2/2PP2n1/PPQ3PP/RNB2R1K w kq - 3 12|h2g3 e5h5|631|mate,mateIn1,middlegame,oneMove
W8Isy|1k1r3r/ppp2ppp/8/2b5/4PPQ1/2Pq4/PP4PP/R1B2R1K w - - 0 18|f4f5 d3f1|633|hangingPiece,kingsideAttack,mate,mateIn1,middlegame,oneMove
gysq3|r1b2Bk1/pp3ppp/6n1/3Pp3/4P1n1/2PB4/P2N2PP/R2Q1RqK w - - 1 17|f1g1 g4f2|638|mate,mateIn1,middlegame,oneMove,smotheredMate
66gGc|r4qk1/pbpR2pp/1p2pr2/4N3/8/2P5/PP2Q1PP/5R1K w - - 4 24|d7c7 f6f1 e2f1 f8f1|640|kingsideAttack,mate,mateIn2,middlegame,short
1oxzH|8/5b2/p1pk4/P4Pp1/3K2P1/3N4/1P6/8 w - - 3 41|d3b4 c6c5 d4c3 c5b4|647|crushing,endgame,fork,short
OrI6j|3Q4/6kp/1p2qn2/2p2p2/2P1p1pP/4P1P1/p3NPB1/B5K1 w - - 1 40|d8f6 e6f6 a1f6 g7f6|648|advantage,endgame,short
Y446u|r2q2k1/ppp1bppp/4b3/4P3/3pQ3/2NB4/PPP2PPP/4R1K1 b - - 1 19|d4c3 e4h7 g8f8 h7h8|650|kingsideAttack,mate,mateIn2,middlegame,short
l9CMK|8/5p1p/5Bpk/2r2N2/1R6/3b3P/5PP1/6K1 b - - 0 34|d3f5 b4h4|653|endgame,mate,mateIn1,oneMove,pillsburysMate
JwEsP|2kr1b1r/pb1p1pp1/1p5p/2pPB1q1/2Q5/3B4/PPP2PPP/R3R1K1 w - - 3 15|d5d6 g5g2|654|kingsideAttack,mate,mateIn1,middlegame,oneMove
7Q0Ws|2k5/pp5q/2prN2p/3p2p1/3P2n1/1B1P1R2/PP3PPP/4R1K1 b - - 2 30|h7e7 f3f8 e7f8 e6f8|656|crushing,middlegame,short
jbwgt|3rQk2/5pp1/3N2np/7q/6b1/1P3N2/P4PPP/4R1K1 b - - 8 33|d8e8 e1e8|657|mate,mateIn1,middlegame,oneMove
gN75m|4b3/6k1/6Np/p1p2p2/1pPp1P1K/1P1P1B1P/P7/8 b - - 0 42|g7g6 f3h5 g6g7 h5e8|657|bishopEndgame,crushing,endgame,master,short,skewer
h9g5n|8/8/8/p1k4p/P6P/5K2/8/8 w - - 1 56|f3f4 c5b4 f4e3 b4a4|658|crushing,endgame,pawnEndgame,short
geiIE|2q3k1/pp6/8/7p/3pr1p1/3Q4/PP3PPB/6K1 w - - 0 31|d3e4 c8c1 e4e1 c1e1|661|endgame,mate,mateIn2,short
X4gM1|1r4k1/p1p2ppp/3b4/3RN3/1r1B4/4P2P/5PP1/R5K1 w - - 9 28|e5c6 b4b1 a1b1 b8b1|662|mate,mateIn2,middlegame,pillsburysMate,short
j7XAS|8/pp5p/3r2Bk/4N1p1/4P1P1/1P4K1/5P2/8 b - - 0 41|h7g6 e5f7 h6g7 f7d6|663|crushing,endgame,fork,master,short
60zlg|5r1k/1bR3p1/p3pp1p/1p6/1q1P4/1B2P3/2Q2PPP/6K1 w - - 0 26|c7b7 b4e1|665|endgame,mate,mateIn1,oneMove
6IgKt|r1bq1rk1/ppp2pp1/2n2N1p/3p1Q2/3P3P/1PPBP3/P4PP1/R3K2R b KQ - 1 16|d8f6 f5h7|666|mate,mateIn1,middlegame,oneMove
E6Avp|1r3r2/1p4k1/pR4pp/2PQPp2/3P3q/P3P3/2B2KPP/8 w - - 1 29|f2g1 h4e1|667|endgame,mate,mateIn1,oneMove
Okwy4|8/pp4p1/7p/7k/4Q3/2q1P3/P2r1PPP/3R2K1 w - - 14 37|e4f4 d2d1|668|backRankMate,endgame,hangingPiece,master,mate,mateIn1,oneMove
KHMSZ|8/pk6/1p2R3/1P6/6p1/7n/7P/7K w - - 1 46|h1g2 h3f4 g2g3 f4e6|669|crushing,endgame,fork,short
jbv2l|kn1r3r/2R2ppp/p3pn2/3P4/8/4BP1P/PP3P2/5RK1 b - - 0 23|f6d5 c7a7|670|mate,mateIn1,middlegame,oneMove,operaMate
ko9aB|r1b2rk1/1p3ppp/p1pp1q2/2b1p1N1/P1B1P3/1nPP3P/1P3PP1/R1BQK2R w KQ - 1 12|c4b3 f6f2|671|attackingF2F7,mate,mateIn1,oneMove,opening
7osbU|rn1qkbnr/ppp2Bpp/8/4p3/8/1QP3P1/PPbPPP1P/R1B1K1NR b KQkq - 0 6|e8e7 b3e6|675|mate,mateIn1,oneMove,opening
5fCq6|r4rk1/ppp1nppp/1b1qb3/6N1/2BP4/P1NQP2P/1P4P1/R4RK1 b - - 4 18|e6c4 d3h7|676|kingsideAttack,mate,mateIn1,middlegame,oneMove
m6Xrz|r2q1k1r/pbpp2pp/1pn2b2/7Q/2Bp4/8/PPP2PPP/RNB2RK1 b - - 3 11|c6e7 h5f7|678|mate,mateIn1,oneMove,opening
6Shp5|r4rk1/ppqn1pp1/3bb2p/3pp3/8/1P2PNQ1/PBPP1PPP/2KR3R b - - 5 15|e5e4 g3g7|678|kingsideAttack,mate,mateIn1,middlegame,oneMove
ABC2v|8/6k1/5p2/3R1p1P/p2P1K2/4P3/8/r7 w - - 0 46|d5f5 a1f1 f4e4 f1f5|679|crushing,endgame,rookEndgame,short
TLHUN|3r2k1/p3qpp1/7p/8/8/2P2Q2/PPR3P1/3K4 w - - 1 28|d1c1 e7e1 f3d1 d8d1|679|endgame,mate,mateIn2,short
gN5tX|2k4r/p1p5/1p1p4/3P4/P1P5/2P2p2/4B3/R4KQq w - - 0 37|g1h1 h8h1 f1f2 h1a1|680|crushing,endgame,short,skewer
L2VF9|r1bqk1nr/ppp2ppp/8/4P3/1nP5/3p1N2/PP1NPPPP/R2QKB1R w KQkq - 0 8|e2e3 b4c2 d1c2 d3c2|681|advancedPawn,advantage,fork,opening,short
nwiFu|r4knr/pppQ1ppp/5q2/4b3/8/2P5/P5PP/RN1R3K b - - 0 17|g8e7 d7d8 a8d8 d1d8|681|backRankMate,mate,mateIn2,middlegame,sacrifice,short
GCL0m|8/p4p1p/1b2k1p1/3R4/PP2PP2/6P1/2n5/5K2 w - - 1 38|a4a5 c2e3 f1e2 e3d5|681|crushing,endgame,fork,short
np7vR|6R1/ppq4p/2pb2Q1/3p2Pk/4r3/5N1P/PP3PK1/8 b - - 0 35|h7g6 g8h8 c7h7 h8h7|684|endgame,mate,mateIn2,short
Q9OvO|3rr3/p5kp/5pp1/8/1P4PQ/5P1b/P4R1P/1R2q1K1 w - - 2 32|b1e1 e8e1 f2f1 e1f1|685|endgame,mate,mateIn2,operaMate,short
fKIOl|r4r2/k6p/5q1n/8/1RQ5/8/PPP3PP/1K5R w - - 5 32|c4b3 f6f1 h1f1 f8f1|687|backRankMate,master,mate,mateIn2,middlegame,sacrifice,short
ABByS|3r2k1/pp3ppp/1qp5/3B1P2/8/1P4PP/PQ3P2/4R1K1 b - - 0 23|d8d5 e1e8|687|endgame,mate,mateIn1,oneMove
U6cmv|r2q1rk1/1pp1bppp/p2pbn2/3N4/2BQP3/1P6/PBP2PPP/2KR3R b - - 1 11|f6d5 d4g7|688|kingsideAttack,mate,mateIn1,middlegame,oneMove
3NnqK|3Rbqk1/2p2p2/1p3Ppp/4Q3/8/1P5P/6r1/7K w - - 0 31|h1g2 e8c6 g2f2 f8d8|688|crushing,discoveredAttack,endgame,short
GCJLh|1rb2rk1/p1p1qppp/1p2p3/4P3/2N1Q3/1P5R/P4PPP/5RK1 b - - 3 18|c8b7 e4h7|692|kingsideAttack,mate,mateIn1,middlegame,oneMove
i0bRb|6k1/ppprbpp1/7p/3qPb2/3N1B2/P6P/1P2QPP1/3R2K1 w - - 1 25|d4f5 d5d1 e2d1 d7d1|695|crushing,kingsideAttack,middlegame,short
L2SwW|2r2rk1/pq1n1ppp/b3p3/3pP1N1/2pP2P1/1P2P2P/PBQ2RK1/3R4 b - - 1 27|h7h6 c2h7|699|mate,mateIn1,middlegame,oneMove
fKJdp|8/p5r1/1p3R1p/5p2/5P1k/7P/PP5K/8 b - - 6 36|g7g3 f6h6|699|endgame,mate,mateIn1,oneMove,rookEndgame
