# Kho khai cuoc — moi dong: ECO|ten tieng Viet|ten tieng Anh|cac nuoc UCI cach nhau bang dau cach
#
# Chi giu **bien chinh** cua nhung khai cuoc hay gap nhat, 6-12 nua nuoc moi
# dong. Muc dich khong phai phu het ly thuyet — muc dich la (1) goi ten van co
# dang choi, (2) cho may di khai cuoc tu te thay vi mo mam, va (3) co cai de
# luyen. Ai muon sau hon thi da co sach.
#
# Nuoc viet bang UCI vi ca app dung UCI; ky phap SAN chi dung de hien ra man.
C20|Ván cờ Vua|King's Pawn Game|e2e4 e7e5
B07|Phòng thủ Pirc|Pirc Defence|e2e4 d7d6 d2d4 g8f6 b1c3 g7g6
B00|Phòng thủ Alekhine|Alekhine Defence|e2e4 g8f6 e4e5 f6d5 d2d4 d7d6
D00|Ván cờ Tốt Hậu|Queen's Pawn Game|d2d4 d7d5
D06|Gambit Hậu|Queen's Gambit|d2d4 d7d5 c2c4
D20|Gambit Hậu nhận|Queen's Gambit Accepted|d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3
D30|Gambit Hậu từ chối|Queen's Gambit Declined|d2d4 d7d5 c2c4 e7e6 b1c3 g8f6
D10|Phòng thủ Slav|Slav Defence|d2d4 d7d5 c2c4 c7c6 g1f3 g8f6
D43|Phòng thủ Nửa Slav|Semi-Slav Defence|d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6
D80|Phòng thủ Grünfeld|Grünfeld Defence|d2d4 g8f6 c2c4 g7g6 b1c3 d7d5
E60|Phòng thủ Ấn Độ Vua|King's Indian Defence|d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6
E20|Phòng thủ Nimzo-Ấn|Nimzo-Indian Defence|d2d4 g8f6 c2c4 e7e6 b1c3 f8b4
E12|Phòng thủ Hậu Ấn|Queen's Indian Defence|d2d4 g8f6 c2c4 e7e6 g1f3 b7b6
A40|Phòng thủ Ấn Độ cũ|Old Indian Defence|d2d4 g8f6 c2c4 d7d6
A45|Ván cờ Ấn Độ|Indian Game|d2d4 g8f6
A80|Phòng thủ Hà Lan|Dutch Defence|d2d4 f7f5
A10|Khai cuộc Anh|English Opening|c2c4
A15|Anh, biến Ấn Độ|English, Anglo-Indian|c2c4 g8f6 g1f3 g7g6
A04|Khai cuộc Réti|Réti Opening|g1f3 d7d5 c2c4
A01|Khai cuộc Larsen|Larsen Opening|b2b3
A02|Khai cuộc Bird|Bird Opening|f2f4
B06|Phòng thủ Hiện đại|Modern Defence|e2e4 g7g6 d2d4 f8g7
# Bo sung 2026-08-15. Hai muc dich: (1) may di sau hon truoc khi phai tu nghi,
# (2) can lai trong so — nuoc nao nhieu bien di qua thi may boc trung nhieu hon,
# nen them bien cho khai cuoc pho bien cung la sua cho lech ve khai cuoc hiem.
C54|Ý, biến chính|Italian, Main Line|e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4
C45|Scotland, biến cổ điển|Scotch, Classical|e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5
C29|Viên, gambit|Vienna Gambit|e2e4 e7e5 b1c3 g8f6 f2f4 d7d5
B33|Sicilia, biến Sveshnikov|Sicilian, Sveshnikov|e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5
B40|Sicilia, biến Taimanov|Sicilian, Taimanov|e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6
B90|Sicilia, Najdorf tấn công Anh|Sicilian, Najdorf English Attack|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5
C18|Pháp, biến Winawer|French, Winawer|e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5
C07|Pháp, biến Tarrasch|French, Tarrasch|e2e4 e7e6 d2d4 d7d5 b1d2 c7c5
B14|Caro-Kann, tấn công Panov|Caro-Kann, Panov Attack|e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6
B01|Scandinavia, Hậu về d6|Scandinavian, Queen to d6|e2e4 d7d5 e4d5 d8d5 b1c3 d5d6
D53|Gambit Hậu từ chối, biến Tượng g5|Queen's Gambit Declined, Bg5|d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8
D85|Grünfeld, biến đổi quân|Grünfeld, Exchange|d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7
E92|Ấn Độ Vua, biến cổ điển|King's Indian, Classical|d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5
E80|Ấn Độ Vua, biến Sämisch|King's Indian, Sämisch|d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8
E06|Khai cuộc Catalan|Catalan Opening|d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7
D02|Hệ thống London|London System|d2d4 d7d5 g1f3 g8f6 c1f4 e7e6 e2e3 f8d6
A45|Tấn công Trompowsky|Trompowsky Attack|d2d4 g8f6 c1g5 e7e6
A57|Gambit Benko|Benko Gambit|d2d4 g8f6 c2c4 c7c5 d4d5 b7b5
A60|Phòng thủ Benoni hiện đại|Modern Benoni|d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6
A81|Hà Lan, biến Leningrad|Dutch, Leningrad|d2d4 f7f5 g2g3 g8f6 f1g2 g7g6 g1f3 f8g7
A34|Anh, biến đối xứng|English, Symmetrical|c2c4 c7c5 g1f3 g8f6 b1c3 b8c6
A05|Réti, tấn công Ấn Độ Vua|Réti, King's Indian Attack|g1f3 g8f6 g2g3 g7g6 f1g2 f8g7
